N,off_unknown,on_wang_guess1,on_naive,on_naive+
12.938160295491997,16.345515762445675,10.87038871947473,13.251723607188817,13.710214538798732
25.876320590983994,45.34768175083786,35.33747954961282,37.576973312999236,38.081365958709966
38.814480886475984,58.03104018251156,52.549786538037544,53.97677561497593,54.60873097714947
51.75264118196798,84.40857559491266,67.47889937381619,67.3168507894917,68.75227270757766
64.69080147745998,91.43912011535167,76.30084998917143,75.73542613971803,77.76003094244882
77.62896177295198,120.6032315484379,106.0443961415307,104.16297188412607,105.54663457678642
90.56712206844398,168.7720387807422,138.71336160665672,131.98201091255535,132.50116690991914
103.50528236393598,169.827133660539,147.91765755480048,143.7453651864545,144.4502617745359
116.44344265942797,188.48556504831666,160.76096125834758,155.27350891498943,156.1649276825173
129.38160295491994,201.47672713430492,182.34021987271896,176.55411428518298,177.7453010326913
